VAR,VAR_CAT
MED_ANTIHYP_Categorical,MED_ANTIHYP_Categorical_0
MED_ANTIHYP_Categorical,MED_ANTIHYP_Categorical_1
ICD_BLD_Categorical,ICD_BLD_Categorical_0
ICD_BLD_Categorical,ICD_BLD_Categorical_1
ICD_CANCER_Categorical,ICD_CANCER_Categorical_0
ICD_CANCER_Categorical,ICD_CANCER_Categorical_1
ICD_MET_Categorical,ICD_MET_Categorical_0
ICD_MET_Categorical,ICD_MET_Categorical_1
ICD_MENTAL_Categorical,ICD_MENTAL_Categorical_0
ICD_MENTAL_Categorical,ICD_MENTAL_Categorical_1
ICD_NEURO_Categorical,ICD_NEURO_Categorical_0
ICD_NEURO_Categorical,ICD_NEURO_Categorical_1
ICD_RESP_Categorical,ICD_RESP_Categorical_0
ICD_RESP_Categorical,ICD_RESP_Categorical_1
ICD_GASTRO_Categorical,ICD_GASTRO_Categorical_0
ICD_GASTRO_Categorical,ICD_GASTRO_Categorical_1
ICD_CIRC_Categorical,ICD_CIRC_Categorical_0
ICD_CIRC_Categorical,ICD_CIRC_Categorical_1
ICD_RENAL_Categorical,ICD_RENAL_Categorical_0
ICD_RENAL_Categorical,ICD_RENAL_Categorical_1
ICD_AIM_Categorical,ICD_AIM_Categorical_0
ICD_AIM_Categorical,ICD_AIM_Categorical_1
